P,num_trading_agents_SM
0.04,40
0.02,21
0.11,105
0.07,66
0.45,360
0.03,32
0.12,111
0.5,375
0.23,211
0.47,366
0.59,370
0.15,142
0.18,164
0.54,382
0.51,377
0.17,156
0.06,57
0.09,87
0.57,376
0.53,380
0.16,149
0.05,50
0.13,123
0.08,77
0.31,275
0.19,175
0.34,298
0.14,134
0.62,381
0.3,271
0.21,195
0.1,97
0.55,383
0.58,376
0.63,373
0.22,204
0.28,255
0.35,308
0.25,230
0.01,11
0.99,18
0.52,374
0.7,332
0.67,352
0.61,377
0.43,353
0.49,372
0.36,313
0.24,221
0.64,370
0.26,238
0.2,185
0.42,348
0.75,286
0.71,328
0.66,361
0.65,364
0.37,314
0.6,373
0.56,377
0.77,266
0.46,364
0.88,149
0.86,169
0.48,370
0.85,182
0.91,114
0.76,277
0.72,318
0.83,199
0.74,298
0.95,66
0.33,293
0.89,135
0.68,346
0.87,157
0.82,209
0.27,248
0.98,31
0.92,104
0.96,52
0.8,234
0.93,94
0.9,128
0.94,82
0.97,44
0.29,263
0.84,191
0.69,337
0.4,335
0.32,286
0.81,220
0.79,245
0.78,257
0.44,359
0.39,330
0.38,319
0.73,309
0.41,344
